MagX;MagY;MagZ;AccX;AccY;AccZ;GyroR;GyroP;GyroY
-338;481;-3;-136;310;-516;-532;-531;0
-338;480;-2;-138;316;-517;-533;-532;0
-339;480;-1;-140;320;-519;-534;-531;0
-340;480;1;-136;317;-519;-535;-531;0
-343;478;1;-134;312;-519;-535;-532;0
-345;479;4;-131;304;-520;-534;-532;0
-342;481;6;-130;304;-521;-535;-532;0
-345;478;9;-129;305;-521;-534;-531;0
-344;479;8;-128;301;-520;-534;-531;0
-344;480;3;-136;301;-520;-534;-531;0
-344;480;3;-136;301;-520;-534;-531;0
-341;479;0;-139;302;-518;-534;-528;0
-345;477;-1;-148;308;-518;-535;-528;0
-345;477;-2;-156;312;-519;-536;-527;0
-348;477;0;-148;310;-519;-536;-527;0
-347;479;1;-139;308;-519;-536;-528;0
-347;476;8;-141;310;-518;-536;-529;0
-344;478;9;-142;305;-517;-535;-529;0
-354;476;7;-139;299;-519;-535;-529;0
-349;473;7;-126;285;-519;-534;-530;0
-353;475;8;-124;284;-519;-533;-531;0
-349;477;10;-125;288;-517;-531;-532;0
-349;475;11;-131;303;-516;-531;-531;0
-346;477;12;-137;315;-514;-534;-531;0
-346;475;12;-143;322;-513;-535;-532;0
-348;475;5;-156;323;-512;-536;-532;0
-346;475;3;-159;321;-513;-535;-532;0
-349;476;1;-160;319;-515;-534;-531;0
-344;475;1;-150;320;-516;-534;-530;0
-344;476;4;-146;322;-515;-534;-531;0
-344;478;7;-142;325;-515;-534;-531;0
-343;475;10;-140;327;-516;-534;-531;0
-346;475;11;-131;325;-517;-534;-530;0
-344;476;13;-132;326;-517;-535;-530;0
-344;475;15;-136;324;-515;-535;-530;0
-341;475;11;-139;315;-515;-534;-529;0
-343;473;11;-141;313;-517;-532;-529;0
-347;476;10;-141;313;-517;-532;-529;0
-347;476;10;-141;314;-516;-532;-529;0
-340;474;10;-136;315;-516;-532;-530;0
-347;475;9;-135;316;-515;-531;-530;0
-341;477;8;-143;327;-514;-531;-530;0
-347;477;9;-147;335;-513;-533;-531;0
-342;477;13;-151;346;-511;-535;-530;0
-345;475;9;-155;347;-510;-537;-530;0
-346;476;5;-155;342;-512;-538;-531;0
-346;476;2;-151;334;-512;-536;-531;0
-344;476;2;-146;328;-513;-535;-532;0
-344;476;6;-141;321;-515;-534;-532;0
-347;476;10;-135;321;-518;-533;-532;0
-346;475;15;-129;322;-518;-533;-532;0
-344;477;22;-131;330;-517;-535;-532;0
-345;476;22;-131;331;-514;-535;-532;0
-342;476;19;-129;329;-513;-536;-533;0
-344;475;12;-144;329;-512;-536;-533;0
-345;476;10;-148;327;-513;-535;-532;0
-342;476;8;-149;324;-517;-534;-531;0
-343;472;11;-150;325;-519;-534;-530;0
-343;477;12;-148;321;-518;-534;-530;0
-344;474;11;-147;319;-519;-535;-529;0
-341;475;16;-136;321;-518;-535;-529;0
-353;474;19;-132;324;-517;-535;-529;0
-339;476;20;-130;328;-514;-536;-530;0
-347;474;22;-129;333;-513;-536;-532;0
-342;475;18;-134;333;-513;-536;-532;0
-345;474;18;-135;331;-515;-536;-532;0
-342;475;19;-137;327;-515;-536;-533;0
-346;474;19;-136;318;-515;-535;-533;0
-336;476;21;-134;316;-516;-534;-533;0
-344;475;21;-134;316;-517;-534;-531;0
-339;474;19;-135;315;-516;-533;-531;0
-347;475;16;-137;316;-515;-533;-530;0
-342;474;14;-137;321;-517;-533;-530;0
-341;476;16;-138;326;-517;-534;-530;0
-344;476;16;-141;328;-517;-534;-529;0
-343;473;17;-142;329;-517;-535;-529;0
-342;475;21;-142;330;-518;-536;-529;0
-344;475;20;-143;328;-517;-537;-530;0
-344;475;19;-141;324;-517;-537;-530;0
-341;474;17;-138;317;-517;-536;-531;0
-340;473;18;-128;310;-517;-536;-531;0
-343;474;21;-126;312;-516;-536;-531;0
-340;475;20;-126;312;-515;-535;-531;0
-344;474;16;-130;311;-515;-535;-532;0
-340;474;15;-135;313;-514;-535;-531;0
-347;473;17;-137;314;-514;-534;-531;0
-344;473;17;-148;315;-515;-534;-531;0
-346;473;16;-149;314;-516;-533;-530;0
-341;474;15;-148;312;-518;-533;-529;0
-343;475;17;-141;311;-518;-532;-528;0
-346;474;19;-135;315;-518;-534;-528;0
-345;472;22;-130;320;-517;-534;-528;0
-342;475;20;-131;327;-515;-535;-528;0
-342;473;16;-134;329;-511;-536;-529;0
-338;471;13;-139;329;-511;-536;-530;0
-340;474;11;-141;328;-513;-535;-530;0
-338;472;11;-144;324;-514;-534;-530;0
