latitude(deg);longitude(deg);height(m);Q;ns;sdn(m);sde(m);sdu(m);sdne(m);sdeu(m);sdun(m);age(s);ratio
40018862173;-105253785905;15912765;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0019;0.59;5.8
40018840909;-105253786827;15912779;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0019;0.79;5.9
40018819873;-105253787802;15912886;1;16;0.0055;0.0053;0.0105;0.0006;-0.0021;-0.0020;0.99;6.1
40018799303;-105253788814;15912971;1;16;0.0055;0.0054;0.0105;0.0005;-0.0021;-0.0020;1.19;6.2
40018779191;-105253789797;15913043;1;16;0.0055;0.0054;0.0106;0.0005;-0.0021;-0.0020;1.39;6.4
40018759380;-105253790707;15913117;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0019;0.59;6.6
40018740023;-105253791570;15913135;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0020;0.79;6.7
40018721138;-105253792374;15913073;1;16;0.0055;0.0053;0.0105;0.0006;-0.0021;-0.0020;0.99;6.9
40018702457;-105253793127;15913081;1;16;0.0054;0.0053;0.0103;0.0006;-0.0021;-0.0019;0.19;7.1
40018684030;-105253793878;15913119;1;16;0.0054;0.0053;0.0103;0.0006;-0.0021;-0.0019;0.39;7.2
40018666046;-105253794636;15913186;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0019;0.59;7.3
40018648481;-105253795345;15913222;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0020;0.79;7.5
40018631279;-105253795992;15913354;1;16;0.0055;0.0053;0.0105;0.0005;-0.0021;-0.0020;0.99;7.7
40018614409;-105253796712;15913335;1;16;0.0054;0.0053;0.0103;0.0006;-0.0021;-0.0019;0.19;7.8
40018597962;-105253797324;15913327;1;16;0.0054;0.0053;0.0103;0.0006;-0.0021;-0.0019;0.39;8.0
40018581973;-105253797924;15913467;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0019;0.59;8.1
40018566492;-105253798615;15913521;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0020;0.79;8.3
40018551465;-105253799429;15913589;1;16;0.0055;0.0053;0.0105;0.0005;-0.0021;-0.0020;0.99;8.4
40018536932;-105253800257;15913665;1;16;0.0055;0.0054;0.0105;0.0005;-0.0021;-0.0020;1.19;8.6
40018522926;-105253801239;15913760;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0019;0.39;8.7
40018509454;-105253802325;15913876;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0019;0.59;8.9
40018496462;-105253803490;15913895;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0020;0.79;9.1
40018483973;-105253805045;15913854;1;16;0.0055;0.0053;0.0105;0.0005;-0.0021;-0.0020;0.99;9.2
40018471925;-105253806913;15913778;1;16;0.0054;0.0053;0.0103;0.0006;-0.0021;-0.0019;0.19;9.4
40018460513;-105253809542;15913783;1;16;0.0054;0.0053;0.0103;0.0006;-0.0021;-0.0019;0.39;9.5
40018449605;-105253812792;15913777;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0019;0.59;9.7
40018439225;-105253817046;15913734;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0020;0.79;9.8
40018429269;-105253822297;15913656;1;16;0.0055;0.0053;0.0105;0.0005;-0.0021;-0.0020;0.99;10.0
40018419798;-105253828676;15913469;1;16;0.0054;0.0053;0.0103;0.0006;-0.0021;-0.0019;0.19;10.2
40018410828;-105253835722;15913381;1;16;0.0054;0.0053;0.0103;0.0006;-0.0021;-0.0019;0.39;10.3
40018402550;-105253844047;15913190;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0019;0.59;10.5
40018395052;-105253853090;15913194;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0020;0.79;10.7
40018388438;-105253862876;15913442;1;16;0.0055;0.0053;0.0105;0.0005;-0.0021;-0.0020;0.99;10.9
40018382653;-105253873575;15913894;1;16;0.0054;0.0053;0.0103;0.0006;-0.0021;-0.0019;0.19;11.1
