col1,col2
18:28.1,1879
18:28.1,1867
18:28.1,1856
18:28.1,1842
18:28.1,1817
18:28.1,1803
18:28.1,1804
18:28.1,1799
18:28.1,1818
18:28.1,1851
18:28.1,1878
18:28.1,1939
18:28.1,1973
18:28.1,1961
18:28.2,1941
18:28.2,1933
18:28.2,1927
18:28.2,1933
18:28.2,1955
18:28.2,1964
18:28.2,1950
18:28.2,1961
18:28.2,1947
18:28.2,1930
18:28.2,1929
18:28.2,1943
18:28.2,1971
18:28.2,1957
18:28.2,1936
18:28.2,1925
18:28.2,1919
18:28.2,1912
18:28.2,1928
18:28.2,1938
18:28.2,1920
18:28.2,1920
18:28.2,1921
18:28.2,1920
18:28.2,1921
18:28.2,1922
18:28.2,1921
18:28.2,1921
18:28.2,1897
18:28.2,1885
18:28.2,1893
18:28.2,1891
18:28.2,1901
18:28.2,1902
18:28.2,1903
18:28.2,1898
18:28.2,1902
18:28.2,1907
18:28.2,1908
18:28.2,1901
18:28.2,1900
18:28.2,1872
18:28.2,1852
18:28.2,1852
18:28.2,1906
18:28.2,1925
18:28.2,1910
18:28.2,1964
18:28.2,2002
18:28.2,2050
18:28.2,2040
18:28.3,1962
18:28.3,1916
18:28.3,1918
18:28.3,1932
18:28.3,1951
18:28.3,1940
18:28.3,1926
18:28.3,1911
18:28.3,1917
18:28.3,1932
18:28.3,1932
18:28.3,1921
18:28.3,1927
18:28.3,1943
18:28.3,1925
18:28.3,1890
18:28.3,1880
18:28.3,1888
18:28.3,1889
18:28.3,1918
18:28.3,1946
18:28.3,1944
18:28.3,1887
18:28.3,1881
18:28.3,1865
18:28.3,1866
18:28.3,1869
18:28.3,1871
18:28.3,1874
18:28.3,1901
18:28.3,1924
18:28.3,1908
18:28.3,1858
18:28.3,1820
18:28.3,1835
18:28.3,1909
18:28.3,1919
18:28.3,1908
18:28.3,1921
18:28.3,1938
18:28.3,1928
18:28.3,1905
18:28.3,1870
18:28.3,1856
18:28.3,1848
18:28.3,1831
18:28.3,1831
18:28.3,1807
18:28.3,1826
18:28.3,1871
18:28.3,1912
18:28.3,1926
18:28.4,1975
18:28.4,2013
18:28.4,2024
18:28.4,1993
18:28.4,1951
18:28.4,1924
18:28.4,1935
18:28.4,1938
18:28.4,1946
